project,commit_id,CWE,CVE,bug_info,commit_url,repo_url
linux,532c34b5fbf1687df63b3fcd5b2846312ac943c6,CWE-362,,Race Condition,https://github.com/torvalds/linux/commit/532c34b5fbf1687df63b3fcd5b2846312ac943c6,https://github.com/torvalds/linux
tcpdump,2b62d1dda41590db29368ec7ba5f4faf3464765a,CWE-787,,Out-of-Bounds,https://github.com/the-tcpdump-group/tcpdump/commit/2b62d1dda41590db29368ec7ba5f4faf3464765a,https://github.com/the-tcpdump-group/tcpdump
ovs,4af6da3b275b764b1afe194df6499b33d2bf4cde,CWE-703,,NULL Pointer Dereference,https://github.com/openvswitch/ovs/commit/4af6da3b275b764b1afe194df6499b33d2bf4cde,https://github.com/openvswitch/ovs
linux,fc3a9157d3148ab91039c75423da8ef97be3e105,CWE-401,,Race Condition,https://github.com/torvalds/linux/commit/fc3a9157d3148ab91039c75423da8ef97be3e105,https://github.com/torvalds/linux
Crow,79eec91f00b5fb7df890d4e84b2f048b0841e044,CWE-703,,Buffer Overflow,https://github.com/CrowCpp/Crow/commit/79eec91f00b5fb7df890d4e84b2f048b0841e044,https://github.com/CrowCpp/Crow
libmysofa,d39a171e9c6a1c44dbdf43f9db6c3fbd887e38c1,CWE-703,,Privilege Escalation,https://github.com/hoene/libmysofa/commit/d39a171e9c6a1c44dbdf43f9db6c3fbd887e38c1,https://github.com/hoene/libmysofa
linux,c55aee1bf0e6b6feec8b2927b43f7a09a6d5f754,CWE-703,,Denial of Service (DoS),https://github.com/torvalds/linux/commit/c55aee1bf0e6b6feec8b2927b43f7a09a6d5f754,https://github.com/torvalds/linux
linux,73223e4e2e3867ebf033a5a8eb2e5df0158ccc99,CWE-416,,Use After Free,https://github.com/torvalds/linux/commit/73223e4e2e3867ebf033a5a8eb2e5df0158ccc99,https://github.com/torvalds/linux
openjpeg,c5bd64ea146162967c29bd2af0cbb845ba3eaaaf,CWE-369,,Divide By Zero,https://github.com/uclouvain/openjpeg/commit/c5bd64ea146162967c29bd2af0cbb845ba3eaaaf,https://github.com/uclouvain/openjpeg
linux,c0a333d842ef67ac04adc72ff79dc1ccc3dca4ed,CWE-401,,Memory Leak,https://github.com/torvalds/linux/commit/c0a333d842ef67ac04adc72ff79dc1ccc3dca4ed,https://github.com/torvalds/linux
Pillow,a79b65c47c7dc6fe623aadf09aa6192fc54548f3,CWE-787,,Buffer Overflow,https://github.com/python-pillow/Pillow/commit/a79b65c47c7dc6fe623aadf09aa6192fc54548f3,https://github.com/python-pillow/Pillow
ImageMagick,bd40cc5f53067322861b881485cbd70f509f3829,CWE-401,,Memory Leak,https://github.com/ImageMagick/ImageMagick/commit/bd40cc5f53067322861b881485cbd70f509f3829,https://github.com/ImageMagick/ImageMagick
linux,b5a663aa426f4884c71cd8580adae73f33570f0d,CWE-200,,Improper Input Validation,https://github.com/torvalds/linux/commit/b5a663aa426f4884c71cd8580adae73f33570f0d,https://github.com/torvalds/linux
qpdf,b4d6cf6836ce025ba1811b7bbec52680c7204223,CWE-399,,Resource Management Errors,https://github.com/qpdf/qpdf/commit/b4d6cf6836ce025ba1811b7bbec52680c7204223,https://github.com/qpdf/qpdf
curl,1890d59905414ab84a35892b2e45833654aa5c13,CWE-200,,Cryptographic Issues,https://github.com/curl/curl/commit/1890d59905414ab84a35892b2e45833654aa5c13,https://github.com/curl/curl
FFmpeg,9cb4eb772839c5e1de2855d126bf74ff16d13382,CWE-399,,Out-of-Bounds,https://github.com/FFmpeg/FFmpeg/commit/9cb4eb772839c5e1de2855d126bf74ff16d13382,https://github.com/FFmpeg/FFmpeg
radare2,4d3811681a80f92a53e795f6a64c4b0fc2c8dd22,CWE-703,,Denial of Service (DoS),https://github.com/radareorg/radare2/commit/4d3811681a80f92a53e795f6a64c4b0fc2c8dd22,https://github.com/radareorg/radare2
gpac,87afe070cd6866df7fe80f11b26ef75161de85e0,CWE-476,,Out-of-bounds Read,https://github.com/gpac/gpac/commit/87afe070cd6866df7fe80f11b26ef75161de85e0,https://github.com/gpac/gpac
mruby,da48e7dbb20024c198493b8724adae1b842083aa,CWE-703,,Heap-based Buffer Overflow,https://github.com/mruby/mruby/commit/da48e7dbb20024c198493b8724adae1b842083aa,https://github.com/mruby/mruby
libmobi,ab5bf0e37e540eac682a14e628853b918626e72b,CWE-787,,Out-of-bounds Read,https://github.com/bfabiszewski/libmobi/commit/ab5bf0e37e540eac682a14e628853b918626e72b,https://github.com/bfabiszewski/libmobi
linux,e0bccd315db0c2f919e7fcf9cb60db21d9986f52,CWE-20,,Improper Input Validation,https://github.com/torvalds/linux/commit/e0bccd315db0c2f919e7fcf9cb60db21d9986f52,https://github.com/torvalds/linux
tensorflow,77dd114513d7796e1e2b8aece214a380af26fbf4,CWE-369,,Denial of Service (DoS),https://github.com/tensorflow/tensorflow/commit/77dd114513d7796e1e2b8aece214a380af26fbf4,https://github.com/tensorflow/tensorflow
linux,6cd88243c7e03845a450795e134b488fc2afb736,CWE-703,,Denial of Service (DoS),https://github.com/torvalds/linux/commit/6cd88243c7e03845a450795e134b488fc2afb736,https://github.com/torvalds/linux
FFmpeg,9a271a9368eaabf99e6c2046103acb33957e63b7,CWE-787,,Out-of-Bounds,https://github.com/FFmpeg/FFmpeg/commit/9a271a9368eaabf99e6c2046103acb33957e63b7,https://github.com/FFmpeg/FFmpeg
php-src,8d2539fa0faf3f63e1d1e7635347c5b9e777d47b,CWE-476,,NULL Pointer Dereference,https://github.com/php/php-src/commit/8d2539fa0faf3f63e1d1e7635347c5b9e777d47b,https://github.com/php/php-src
asylo,a47ef55db2337d29de19c50cd29b0deb2871d31c,CWE-200,,Information Exposure,https://github.com/google/asylo/commit/a47ef55db2337d29de19c50cd29b0deb2871d31c,https://github.com/google/asylo
njs,2e00e95473861846aa8538be87db07699d9f676d,CWE-703,,Denial of Service (DoS),https://github.com/nginx/njs/commit/2e00e95473861846aa8538be87db07699d9f676d,https://github.com/nginx/njs
linux,cabfb3680f78981d26c078a26e5c748531257ebb,CWE-476,,NULL Pointer Dereference,https://github.com/torvalds/linux/commit/cabfb3680f78981d26c078a26e5c748531257ebb,https://github.com/torvalds/linux
mruby,47068ae07a5fa3aa9a1879cdfe98a9ce0f339299,CWE-787,,Heap-based Buffer Overflow,https://github.com/mruby/mruby/commit/47068ae07a5fa3aa9a1879cdfe98a9ce0f339299,https://github.com/mruby/mruby
tcpreplay,6b830a1640ca20528032c89a4fdd8291a4d2d8b2,CWE-399,,NULL Pointer Dereference,https://github.com/appneta/tcpreplay/commit/6b830a1640ca20528032c89a4fdd8291a4d2d8b2,https://github.com/appneta/tcpreplay
ImageMagick,8187d2d8fd010d2d6b1a3a8edd935beec404dddc,CWE-20,,Out-of-bounds Read,https://github.com/ImageMagick/ImageMagick/commit/8187d2d8fd010d2d6b1a3a8edd935beec404dddc,https://github.com/ImageMagick/ImageMagick
tcpdump,3a76fd7c95fced2c2f8c8148a9055c3a542eff29,CWE-399,,Resource Management Errors,https://github.com/the-tcpdump-group/tcpdump/commit/3a76fd7c95fced2c2f8c8148a9055c3a542eff29,https://github.com/the-tcpdump-group/tcpdump
tensorflow,204945b19e44b57906c9344c0d00120eeeae178a,CWE-703,,Out-of-bounds Write,https://github.com/tensorflow/tensorflow/commit/204945b19e44b57906c9344c0d00120eeeae178a,https://github.com/tensorflow/tensorflow
libvips,00622428bda8d7521db8d74260b519fa41d69d0a,,,Use of Uninitialized Resource,https://github.com/libvips/libvips/commit/00622428bda8d7521db8d74260b519fa41d69d0a,https://github.com/libvips/libvips
ImageMagick,134463b926fa965571aa4febd61b810be5e7da05,CWE-284,,Resource Management Errors,https://github.com/ImageMagick/ImageMagick/commit/134463b926fa965571aa4febd61b810be5e7da05,https://github.com/ImageMagick/ImageMagick
ImageMagick,216d117f05bff87b9dc4db55a1b1fadb38bcb786,CWE-703,,NULL Pointer Dereference,https://github.com/ImageMagick/ImageMagick/commit/216d117f05bff87b9dc4db55a1b1fadb38bcb786,https://github.com/ImageMagick/ImageMagick
OpenSC,05648b06,CWE-787,,Heap-based Buffer Overflow,https://github.com/OpenSC/OpenSC/commit/05648b06,https://github.com/OpenSC/OpenSC
epiphany,486da133569ebfc436c959a7419565ab102e8525,CWE-787,,Buffer Overflow,https://github.com/GNOME/epiphany/commit/486da133569ebfc436c959a7419565ab102e8525,https://github.com/GNOME/epiphany
openssh-portable,ec165c392ca54317dbe3064a8c200de6531e89ad,CWE-522,,Access Restriction Bypass,https://github.com/openssh/openssh-portable/commit/ec165c392ca54317dbe3064a8c200de6531e89ad,https://github.com/openssh/openssh-portable
linux,74e98eb085889b0d2d4908f59f6e00026063014f,CWE-703,,Denial of Service (DoS),https://github.com/torvalds/linux/commit/74e98eb085889b0d2d4908f59f6e00026063014f,https://github.com/torvalds/linux
ModSecurity,f8d441cd25172fdfe5b613442fedfc0da3cc333d,CWE-703,,Resource Management Errors,https://github.com/SpiderLabs/ModSecurity/commit/f8d441cd25172fdfe5b613442fedfc0da3cc333d,https://github.com/SpiderLabs/ModSecurity
quassel,b5e38970ffd55e2dd9f706ce75af9a8d7730b1b8,CWE-399,,Missing Encryption of Sensitive Data,https://github.com/quassel/quassel/commit/b5e38970ffd55e2dd9f706ce75af9a8d7730b1b8,https://github.com/quassel/quassel
tensorflow,2be2cdf3a123e231b16f766aa0e27d56b4606535,CWE-369,,Buffer Overflow,https://github.com/tensorflow/tensorflow/commit/2be2cdf3a123e231b16f766aa0e27d56b4606535,https://github.com/tensorflow/tensorflow
linux,3ca8138f014a913f98e6ef40e939868e1e9ea876,CWE-399,,Information Exposure,https://github.com/torvalds/linux/commit/3ca8138f014a913f98e6ef40e939868e1e9ea876,https://github.com/torvalds/linux
w3m,8354763b90490d4105695df52674d0fcef823e92,CWE-399,,Out-of-bounds Read,https://github.com/tats/w3m/commit/8354763b90490d4105695df52674d0fcef823e92,https://github.com/tats/w3m
src,a6981567e8e215acc1ef690c8dbb30f2d9b00a19,CWE-703,,Improper Privilege Management,https://github.com/openbsd/src/commit/a6981567e8e215acc1ef690c8dbb30f2d9b00a19,https://github.com/openbsd/src
tensorflow,44b7f486c0143f68b56c34e2d01e146ee445134a,CWE-369,,Out-of-bounds Read,https://github.com/tensorflow/tensorflow/commit/44b7f486c0143f68b56c34e2d01e146ee445134a,https://github.com/tensorflow/tensorflow
squid,eeebf0f37a72a2de08348e85ae34b02c34e9a811,CWE-352,,Integer Overflow or Wraparound,https://github.com/squid-cache/squid/commit/eeebf0f37a72a2de08348e85ae34b02c34e9a811,https://github.com/squid-cache/squid
tcpdump,da6f1a677bfa4476abaeaf9b1afe1c4390f51b41,CWE-787,,Out-of-Bounds,https://github.com/the-tcpdump-group/tcpdump/commit/da6f1a677bfa4476abaeaf9b1afe1c4390f51b41,https://github.com/the-tcpdump-group/tcpdump
linux,db29a9508a9246e77087c5531e45b2c88ec6988b,CWE-787,,Security Features,https://github.com/torvalds/linux/commit/db29a9508a9246e77087c5531e45b2c88ec6988b,https://github.com/torvalds/linux
linux,c9b92530a723ac5ef8e352885a1862b18f31b2f5,CWE-20,,Race Condition,https://github.com/torvalds/linux/commit/c9b92530a723ac5ef8e352885a1862b18f31b2f5,https://github.com/torvalds/linux
linux,6a76f8c0ab19f215af2a3442870eeb5f0e81998d,CWE-703,,NULL Pointer Dereference,https://github.com/torvalds/linux/commit/6a76f8c0ab19f215af2a3442870eeb5f0e81998d,https://github.com/torvalds/linux
tensorflow,9e62869465573cb2d9b5053f1fa02a81fce21d69,CWE-703,,Improper Input Validation,https://github.com/tensorflow/tensorflow/commit/9e62869465573cb2d9b5053f1fa02a81fce21d69,https://github.com/tensorflow/tensorflow
git,34fa79a6cde56d6d428ab0d3160cb094ebad3305,CWE-787,,Out-of-Bounds,https://github.com/git/git/commit/34fa79a6cde56d6d428ab0d3160cb094ebad3305,https://github.com/git/git
libexif,e6a38a1a23ba94d139b1fa2cd4519fdcfe3c9bab,CWE-703,,Denial of Service (DoS),https://github.com/libexif/libexif/commit/e6a38a1a23ba94d139b1fa2cd4519fdcfe3c9bab,https://github.com/libexif/libexif
FreeRDP,9fee4ae076b1ec97b97efb79ece08d1dab4df29a,CWE-401,,Memory Leak,https://github.com/FreeRDP/FreeRDP/commit/9fee4ae076b1ec97b97efb79ece08d1dab4df29a,https://github.com/FreeRDP/FreeRDP
systemd,06eeacb6fe029804f296b065b3ce91e796e1cd0e,CWE-284,,Access Restriction Bypass,https://github.com/systemd/systemd/commit/06eeacb6fe029804f296b065b3ce91e796e1cd0e,https://github.com/systemd/systemd
libplist,fbd8494d5e4e46bf2e90cb6116903e404374fb56,CWE-787,,Out-of-bounds Read,https://github.com/libimobiledevice/libplist/commit/fbd8494d5e4e46bf2e90cb6116903e404374fb56,https://github.com/libimobiledevice/libplist
FFmpeg,cdd5df8189ff1537f7abe8defe971f80602cc2d2,CWE-399,,Resource Management Errors,https://github.com/FFmpeg/FFmpeg/commit/cdd5df8189ff1537f7abe8defe971f80602cc2d2,https://github.com/FFmpeg/FFmpeg
linux,c2183d1e9b3f313dd8ba2b1b0197c8d9fb86a7ae,CWE-787,,Buffer Overflow,https://github.com/torvalds/linux/commit/c2183d1e9b3f313dd8ba2b1b0197c8d9fb86a7ae,https://github.com/torvalds/linux
tcpdump,a152aebfd1114376ba266ed30416be596ef9d806,CWE-787,,Buffer Overflow,https://github.com/the-tcpdump-group/tcpdump/commit/a152aebfd1114376ba266ed30416be596ef9d806,https://github.com/the-tcpdump-group/tcpdump
libarchive,65a23f5dbee4497064e9bb467f81138a62b0dae1,CWE-125,,Out-of-bounds Read,https://github.com/libarchive/libarchive/commit/65a23f5dbee4497064e9bb467f81138a62b0dae1,https://github.com/libarchive/libarchive
linux,412b65d15a7f8a93794653968308fc100f2aa87c,CWE-703,,Out-of-Bounds,https://github.com/torvalds/linux/commit/412b65d15a7f8a93794653968308fc100f2aa87c,https://github.com/torvalds/linux
gpac,4e56ad72ac1afb4e049a10f2d99e7512d7141f9d,CWE-787,,Buffer Overflow,https://github.com/gpac/gpac/commit/4e56ad72ac1afb4e049a10f2d99e7512d7141f9d,https://github.com/gpac/gpac
libevent,96f64a022014a208105ead6c8a7066018449d86d,CWE-125,,Out-of-bounds Read,https://github.com/libevent/libevent/commit/96f64a022014a208105ead6c8a7066018449d86d,https://github.com/libevent/libevent
MilkyTracker,7afd55c42ad80d01a339197a2d8b5461d214edaf,CWE-416,,Out-of-Bounds,https://github.com/milkytracker/MilkyTracker/commit/7afd55c42ad80d01a339197a2d8b5461d214edaf,https://github.com/milkytracker/MilkyTracker
linux,3e10986d1d698140747fcfc2761ec9cb64c1d582,CWE-284,,Access Restriction Bypass,https://github.com/torvalds/linux/commit/3e10986d1d698140747fcfc2761ec9cb64c1d582,https://github.com/torvalds/linux
linux,9a5cbce421a283e6aea3c4007f141735bf9da8c3,CWE-399,,Resource Management Errors,https://github.com/torvalds/linux/commit/9a5cbce421a283e6aea3c4007f141735bf9da8c3,https://github.com/torvalds/linux
vim,4bf1006cae7e87259ccd5219128c3dba75774441,CWE-415,,Double Free,https://github.com/vim/vim/commit/4bf1006cae7e87259ccd5219128c3dba75774441,https://github.com/vim/vim
libgd,4859d69e07504d4b0a4bdf9bcb4d9e3769ca35ae,CWE-125,,Out-of-bounds Read,https://github.com/libgd/libgd/commit/4859d69e07504d4b0a4bdf9bcb4d9e3769ca35ae,https://github.com/libgd/libgd
electron,e9fa834757f41c0b9fe44a4dffe3d7d437f52d34,,,Exposure of Resource to Wrong Sphere,https://github.com/electron/electron/commit/e9fa834757f41c0b9fe44a4dffe3d7d437f52d34,https://github.com/electron/electron
linux,b1bb5b49373b61bf9d2c73a4d30058ba6f069e4c,CWE-703,,Denial of Service (DoS),https://github.com/torvalds/linux/commit/b1bb5b49373b61bf9d2c73a4d30058ba6f069e4c,https://github.com/torvalds/linux
inspircd,74fafb7f11b06747f69f182ad5e3769b665eea7a,CWE-284,,Use After Free,https://github.com/inspircd/inspircd/commit/74fafb7f11b06747f69f182ad5e3769b665eea7a,https://github.com/inspircd/inspircd
curl,2eb8dcf26cb37f09cffe26909a646e702dbcab66,CWE-200,,User Impersonation,https://github.com/bagder/curl/commit/2eb8dcf26cb37f09cffe26909a646e702dbcab66,https://github.com/bagder/curl
linux,58bdd544e2933a21a51eecf17c3f5f94038261b5,CWE-476,,NULL Pointer Dereference,https://github.com/torvalds/linux/commit/58bdd544e2933a21a51eecf17c3f5f94038261b5,https://github.com/torvalds/linux
curl,192c4f788d48f82c03e9cef40013f34370e90737,CWE-787,,Heap-based Buffer Overflow,https://github.com/bagder/curl/commit/192c4f788d48f82c03e9cef40013f34370e90737,https://github.com/bagder/curl
xorg-xserver,dd8caf39e9e15d8f302e54045dd08d8ebf1025dc,CWE-94,,Out-of-Bounds,https://github.com/freedesktop/xorg-xserver/commit/dd8caf39e9e15d8f302e54045dd08d8ebf1025dc,https://github.com/freedesktop/xorg-xserver
linux,9cb636b5f6a8cc6d1b50809ec8f8d33ae0c84c95,CWE-200,,Race Condition,https://github.com/torvalds/linux/commit/9cb636b5f6a8cc6d1b50809ec8f8d33ae0c84c95,https://github.com/torvalds/linux
linux,ac902c112d90a89e59916f751c2745f4dbdbb4bd,CWE-190,,Integer Overflow or Wraparound,https://github.com/torvalds/linux/commit/ac902c112d90a89e59916f751c2745f4dbdbb4bd,https://github.com/torvalds/linux
linux,23b133bdc452aa441fcb9b82cbf6dd05cfd342d0,CWE-703,,Denial of Service (DoS),https://github.com/torvalds/linux/commit/23b133bdc452aa441fcb9b82cbf6dd05cfd342d0,https://github.com/torvalds/linux
tensorflow,42459e4273c2e47a3232cc16c4f4fff3b3a35c38,CWE-369,,Out-of-bounds Read,https://github.com/tensorflow/tensorflow/commit/42459e4273c2e47a3232cc16c4f4fff3b3a35c38,https://github.com/tensorflow/tensorflow
wireshark,5efb45231671baa2db2011d8f67f9d6e72bc455b,CWE-125,,Out-of-Bounds,https://github.com/wireshark/wireshark/commit/5efb45231671baa2db2011d8f67f9d6e72bc455b,https://github.com/wireshark/wireshark
LibRaw,f1394822a0152ceed77815eafa5cac4e8baab10a,CWE-125,,Out-of-Bounds,https://github.com/LibRaw/LibRaw/commit/f1394822a0152ceed77815eafa5cac4e8baab10a,https://github.com/LibRaw/LibRaw
wildmidi,814f31d8eceda8401eb812fc2e94ed143fdad0ab,CWE-200,,Out-of-bounds Read,https://github.com/Mindwerks/wildmidi/commit/814f31d8eceda8401eb812fc2e94ed143fdad0ab,https://github.com/Mindwerks/wildmidi
linux,a50829479f58416a013a4ccca791336af3c584c7,CWE-125,,Out-of-bounds Read,https://github.com/torvalds/linux/commit/a50829479f58416a013a4ccca791336af3c584c7,https://github.com/torvalds/linux
linux,82262a46627bebb0febcc26664746c25cef08563,CWE-401,,Incorrect Calculation,https://github.com/torvalds/linux/commit/82262a46627bebb0febcc26664746c25cef08563,https://github.com/torvalds/linux
tensorflow,41727ff06111117bdf86b37db198217fd7a143cc,CWE-787,,Out-of-bounds Write,https://github.com/tensorflow/tensorflow/commit/41727ff06111117bdf86b37db198217fd7a143cc,https://github.com/tensorflow/tensorflow
acrn-hypervisor,25c0e3817eb332660dd63d1d4522e63dcc94e79a,CWE-787,,Buffer Overflow,https://github.com/projectacrn/acrn-hypervisor/commit/25c0e3817eb332660dd63d1d4522e63dcc94e79a,https://github.com/projectacrn/acrn-hypervisor
tensorflow,744009c9e5cc5d0447f0dc39d055f917e1fd9e16,CWE-369,,Divide By Zero,https://github.com/tensorflow/tensorflow/commit/744009c9e5cc5d0447f0dc39d055f917e1fd9e16,https://github.com/tensorflow/tensorflow
ImageMagick,83e0f8ffd7eeb7661b0ff83257da23d24ca7f078,CWE-399,,Resource Management Errors,https://github.com/ImageMagick/ImageMagick/commit/83e0f8ffd7eeb7661b0ff83257da23d24ca7f078,https://github.com/ImageMagick/ImageMagick
samurai,d2af3bc375e2a77139c3a28d6128c60cd8d08655,CWE-284,,Use of Hard-coded Credentials,https://github.com/michaelforney/samurai/commit/d2af3bc375e2a77139c3a28d6128c60cd8d08655,https://github.com/michaelforney/samurai
nDPI,1ec621c85b9411cc611652fd57a892cfef478af3,CWE-787,,Out-of-bounds Write,https://github.com/ntop/nDPI/commit/1ec621c85b9411cc611652fd57a892cfef478af3,https://github.com/ntop/nDPI
tensorflow,030af767d357d1b4088c4a25c72cb3906abac489,CWE-476,,Out-of-bounds Read,https://github.com/tensorflow/tensorflow/commit/030af767d357d1b4088c4a25c72cb3906abac489,https://github.com/tensorflow/tensorflow
linux,c0f5ecee4e741667b2493c742b60b6218d40b3aa,CWE-269,,Out-of-Bounds,https://github.com/torvalds/linux/commit/c0f5ecee4e741667b2493c742b60b6218d40b3aa,https://github.com/torvalds/linux
linux,04bcef2a83f40c6db24222b27a52892cba39dffb,CWE-787,,Out-of-Bounds,https://github.com/torvalds/linux/commit/04bcef2a83f40c6db24222b27a52892cba39dffb,https://github.com/torvalds/linux
tensorflow,f94ef358bb3e91d517446454edff6535bcfe8e4a,CWE-369,,Divide By Zero,https://github.com/tensorflow/tensorflow/commit/f94ef358bb3e91d517446454edff6535bcfe8e4a,https://github.com/tensorflow/tensorflow
tensorflow,5ecec9c6fbdbc6be03295685190a45e7eee726ab,CWE-416,,Out-of-bounds Write,https://github.com/tensorflow/tensorflow/commit/5ecec9c6fbdbc6be03295685190a45e7eee726ab,https://github.com/tensorflow/tensorflow
glibc,2864e767053317538feafa815046fff89e5a16be,CWE-190,,Remote Code Execution (RCE),https://github.com/bminor/glibc/commit/2864e767053317538feafa815046fff89e5a16be,https://github.com/bminor/glibc
linux,34b2cef20f19c87999fff3da4071e66937db9644,CWE-284,,Integer Overflow or Wraparound,https://github.com/torvalds/linux/commit/34b2cef20f19c87999fff3da4071e66937db9644,https://github.com/torvalds/linux
pjproject,11559e49e65bdf00922ad5ae28913ec6a198d508,CWE-200,,Use After Free,https://github.com/pjsip/pjproject/commit/11559e49e65bdf00922ad5ae28913ec6a198d508,https://github.com/pjsip/pjproject
gpmf-parser,341f12cd5b97ab419e53853ca00176457c9f1681,CWE-369,,Out-of-bounds Read,https://github.com/gopro/gpmf-parser/commit/341f12cd5b97ab419e53853ca00176457c9f1681,https://github.com/gopro/gpmf-parser
pjproject,97b3d7addbaa720b7ddb0af9bf6f3e443e664365,CWE-200,,NULL Pointer Dereference,https://github.com/pjsip/pjproject/commit/97b3d7addbaa720b7ddb0af9bf6f3e443e664365,https://github.com/pjsip/pjproject
squashfs-tools,79b5a555058eef4e1e7ff220c344d39f8cd09646,CWE-22,,Directory Traversal,https://github.com/plougher/squashfs-tools/commit/79b5a555058eef4e1e7ff220c344d39f8cd09646,https://github.com/plougher/squashfs-tools
linux,48900cb6af4282fa0fb6ff4d72a81aa3dadb5c39,CWE-787,,Out-of-Bounds,https://github.com/torvalds/linux/commit/48900cb6af4282fa0fb6ff4d72a81aa3dadb5c39,https://github.com/torvalds/linux
neomutt,6296f7153f0c9d5e5cd3aaf08f9731e56621bdd3,CWE-787,,Out-of-Bounds,https://github.com/neomutt/neomutt/commit/6296f7153f0c9d5e5cd3aaf08f9731e56621bdd3,https://github.com/neomutt/neomutt
mruby,aaa28a508903041dd7399d4159a8ace9766b022f,CWE-787,,Arbitrary Code Execution,https://github.com/mruby/mruby/commit/aaa28a508903041dd7399d4159a8ace9766b022f,https://github.com/mruby/mruby
linux,04f5866e41fb70690e28397487d8bd8eea7d712a,CWE-703,,Denial of Service (DoS),https://github.com/torvalds/linux/commit/04f5866e41fb70690e28397487d8bd8eea7d712a,https://github.com/torvalds/linux
linux,99e3a236dd43d06c65af0a2ef9cb44306aef6e02,CWE-416,,Out-of-bounds Write,https://github.com/torvalds/linux/commit/99e3a236dd43d06c65af0a2ef9cb44306aef6e02,https://github.com/torvalds/linux
linux,ce9f24cccdc019229b70a5c15e2b09ad9c0ab5d1,CWE-703,,Denial of Service (DoS),https://github.com/torvalds/linux/commit/ce9f24cccdc019229b70a5c15e2b09ad9c0ab5d1,https://github.com/torvalds/linux
linux,a1616a5ac99ede5d605047a9012481ce7ff18b16,CWE-200,,Information Exposure,https://github.com/torvalds/linux/commit/a1616a5ac99ede5d605047a9012481ce7ff18b16,https://github.com/torvalds/linux
mysql-server,4e5473862e6852b0f3802b0cd0c6fa10b5253291,CWE-362,,Deserialization of Untrusted Data,https://github.com/mysql/mysql-server/commit/4e5473862e6852b0f3802b0cd0c6fa10b5253291,https://github.com/mysql/mysql-server
tensorflow,301ae88b331d37a2a16159b65b255f4f9eb39314,CWE-125,,NULL Pointer Dereference,https://github.com/tensorflow/tensorflow/commit/301ae88b331d37a2a16159b65b255f4f9eb39314,https://github.com/tensorflow/tensorflow
